player	address	balanceWeiBefore	topupWei
1	0x373c73a96C40F82D8E684448527E78Aa90572AaA	4430760591300757	0
2	0xd5B820002455D9E19044b2830Bb30eD813bf3424	4430760591300757	0
3	0xbae5f91Cca261A85b7f2BCCb02b1de5F6cE88384	4430760591300757	0
4	0x99026D4196D093F6a315408775b00312Fc1F5797	5315114995690019	0
5	0xE88E974c584aE6F222371f4f4D68564D534cc29d	5143777049731940	0
6	0xc5AB7152c9ea027c753589D343934c4E5CD5d305	4430760591300757	0
7	0xC52D960200545832167756854c178fD724A5565b	4430760591300757	0
8	0x1d0E244a40D59eB6eCF9c62ec0c07Ed77723a35c	4430760591300757	0
9	0xBD592997601d44dfC40B7fD3B7FA5b506392B6A7	4430760559752416	0
10	0xf8A384913Aa0895e37A11E469EAD1C7Fc1db57F7	4430760559752416	0
11	0x41Aa374bBF153E755e32A8d6a3f865ff047A9FaB	4430760571922050	0
12	0x75c0B76AdC78eb2Ca867BbecDaFF2EB31f18c492	4430760559752416	0
13	0x1899BD66aF9b1C98cc243aC5537b8D73eae950cF	4430760559752416	0
14	0x4A5eFa2B26015F277b00233E3893D0E92131780d	4430760559752416	0
15	0x4E228BE0901a7c274Ba16d0499f320F796a3c9BF	4430760567865505	0
16	0xfE2A2d2cD4d423Df9b60ddad5BCA09b262428975	4430760559752416	0
17	0x405891A535E1802bC3b9B02Bd808AE32DB4570df	4430760772635810	0
18	0xc1E95Db1F919f6381F77CC1F73F88D2867bE251B	4430760772635810	0
19	0x5326aAB2630aD92dd19485643075632E5856B621	4430760779781447	0
20	0xb3ac4868F83beE82d2993C580B1D4B7717652709	4430760776208629	0
21	0xddDcf99A3dB347F8464D12541D7A4207694C6515	4430760786927083	0
22	0x03b8D945FD329B8fFf754F7821fd479e5f3D899b	4430760776208629	0
23	0x55c4b7E46A01D7023929359126ab04a5Da6c045B	4430760776208629	0
24	0xcC383467a2DBE08Ad0d71A5EE82ffe99c544085E	4430760772635810	0
25	0xe033310Dd4DBD32C011B0DB1E5f636594E33050f	4430760839929216	0
26	0x5b6BA41AC71e2201609eC81BaaE4f876aabb303E	4430760829599067	0
27	0x5f24946dfaaa238255F759bdD774505BbA4C5D8E	4430760829599067	0
28	0xd7cF069cE508aF03C8D4611679Db3ff50B92709f	2900000000000000	0
29	0x5032bD27718a3d0Ba9098EfED91de48b17dc4915	2348981370382015	0
30	0x86772124fe3e21069FC72dC8345d0465c0492563	2348944913659826	0
31	0xdb7bAca89282130D98dfD125b4CBC1188310C635	2348945294705447	0
32	0x3D47Ed4b80bb9331c99F7DD6f7d18456Aed48Dd2	2348964543103374	0
